Geneid	SRR9257060
AT1G32520	194
AT1G51210	0
AT1G66930	42
AT1G03540	104
AT1G76310	623
AT1G64385	768
AT1G43850	943
AT1G76965	2
AT1G51570	4029
AT1G76130	338
AT1G11050	0
AT1G72080	0
AT1G04680	2751
AT1G32780	103
AT1G18370	1496
AT1G24040	531
AT1G61120	12
AT1G69160	318
AT1G22230	182
AT1G75240	930
AT1G53700	73
AT1G80460	2452
AT1G59640	72
AT1G19850	898
AT1G21925	0
AT1G48600	7049
AT1G28390	442
AT1G67030	413
AT1G64340	3
AT1G31550	241
AT1G52360	4075
AT1G77270	217
AT1G64320	47
AT1G03165	0
AT1G64590	80
AT1G79400	5
AT1G02880	476
AT1G38790	0
AT1G63190	0
AT1G78850	4933
AT1G70895	100
AT1G12230	2705
AT1G35830	65
AT1G75430	12
AT1G53450	320
AT1G25330	1
AT1G21950	0
AT1G23650	0
AT1G72270	4
AT1G30170	0
AT1G15757	1
AT1G28150	1921
AT1G69500	0
AT1G23580	0
AT1G03440	527
AT1G76270	460
AT1G65560	288
AT1G13730	1276
AT1G18060	3198
AT1G21640	2033
AT1G08960	353
AT1G79860	28
AT1G68360	35
AT1G10550	47
AT1G34570	671
AT1G65710	352
AT1G56530	0
AT1G53320	1018
AT1G17220	11796
AT1G77525	4
AT1G19960	543
AT1G52880	167
AT1G05420	50
AT1G76040	350
AT1G79840	431
AT1G47830	725
AT1G03010	29
AT1G78100	898
AT1G01695	7
AT1G15380	578
AT1G72320	1193
AT1G61690	1057
AT1G01610	1697
AT1G74030	2982
AT1G66950	74
AT1G18770	0
AT1G74220	0
AT1G56630	71
AT1G02520	359
AT1G50620	476
AT1G08130	1195
AT1G33790	299
AT1G62380	12093
AT1G73165	7
AT1G66000	0
AT1G77932	0
AT1G15480	722
AT1G77960	27
AT1G02590	0
AT1G66640	0
AT1G23880	138
AT1G34460	32
AT1G12780	861
AT1G30300	246
AT1G54060	797
AT1G33020	0
AT1G71130	427
AT1G75170	327
AT1G79920	3495
AT1G03190	333
AT1G16025	0
AT1G22620	911
AT1G51260	1
AT1G65640	0
AT1G26410	19
AT1G74820	3
AT1G34650	0
AT1G23190	3832
AT1G55250	624
AT1G74210	842
AT1G76940	400
AT1G80890	217
AT1G74730	3650
AT1G76090	1258
AT1G63990	12
AT1G61360	423
AT1G75140	566
AT1G21270	877
AT1G49300	1595
AT1G80610	205
AT1G05570	2353
AT1G27540	468
AT1G53945	1
AT1G61565	0
AT1G30780	1
AT1G73350	482
AT1G52440	0
AT1G31280	524
AT1G01225	130
AT1G27110	31
AT1G03180	90
AT1G30050	6
AT1G19540	55
AT1G09540	31
AT1G28220	8
AT1G75717	0
AT1G52680	0
AT1G18940	31
AT1G62580	21
AT1G11020	302
AT1G75680	2847
