Geneid	SRR9257063
AT1G34065	195
AT1G69730	584
AT1G64300	129
AT1G18180	243
AT1G53260	65
AT1G18750	106
AT1G72670	304
AT1G63090	901
AT1G67350	1992
AT1G03430	270
AT1G31670	0
AT1G48790	872
AT1G64510	4326
AT1G10980	8
AT1G61667	190
AT1G48270	156
AT1G66570	0
AT1G35720	7313
AT1G11690	1
AT1G68880	110
AT1G72180	1113
AT1G15920	510
AT1G78020	831
AT1G63060	0
AT1G24265	356
AT1G19710	318
AT1G28050	909
AT1G51420	69
AT1G65540	906
AT1G21600	3031
AT1G68980	317
AT1G20270	557
AT1G73640	77
AT1G02260	277
AT1G20410	343
AT1G55675	52
AT1G19900	30
AT1G30260	63
AT1G10800	39
AT1G56140	606
AT1G74270	2859
AT1G43610	1
AT1G20050	1296
AT1G72250	661
AT1G10940	2423
AT1G02420	23
AT1G32460	1
AT1G35614	1
AT1G11390	797
AT1G25450	364
AT1G77490	1188
AT1G69250	778
AT1G14890	780
AT1G66280	59
AT1G07900	108
AT1G59218	94
AT1G33410	2928
AT1G72280	134
AT1G53670	1602
AT1G78290	357
AT1G36640	0
AT1G17360	948
AT1G14150	583
AT1G03490	0
AT1G62910	121
AT1G70420	174
AT1G52590	549
AT1G29850	1567
AT1G33810	1981
AT1G19600	2994
AT1G51035	21
AT1G18340	293
AT1G53345	151
AT1G23995	0
AT1G31820	340
AT1G55350	2747
AT1G29460	42
AT1G07420	939
AT1G04260	219
AT1G14720	1237
AT1G69550	676
AT1G62981	46
AT1G65080	177
AT1G80350	834
AT1G67060	247
AT1G68845	2
AT1G63600	0
AT1G05930	0
AT1G58265	0
AT1G74100	1575
AT1G48450	4492
AT1G15600	0
AT1G68210	0
AT1G24159	0
AT1G31910	6195
AT1G43630	1
AT1G75010	1126
AT1G09700	892
AT1G12900	11727
AT1G30545	79
AT1G16840	574
AT1G69740	3591
AT1G73280	20
AT1G30000	538
AT1G19150	1269
AT1G04860	1110
AT1G60170	1726
AT1G42190	0
AT1G45010	234
AT1G76065	79
AT1G69780	390
AT1G08750	228
AT1G62305	135
AT1G28610	1104
AT1G20490	80
AT1G73970	499
AT1G74580	228
AT1G52100	201
AT1G07670	2962
AT1G02890	2746
AT1G47720	212
AT1G33120	3832
AT1G30700	145
AT1G51650	9705
AT1G27840	710
AT1G63105	3
AT1G09230	429
AT1G06900	1768
AT1G06050	129
AT1G73250	304
AT1G07050	579
AT1G64810	521
AT1G75270	2457
AT1G64920	8
AT1G54680	136
AT1G05950	212
AT1G33390	759
AT1G73990	2551
AT1G56210	197
AT1G35030	0
AT1G78580	968
AT1G25155	0
AT1G31720	41
AT1G80030	1756
AT1G32980	0
AT1G56620	0
AT1G50680	1
AT1G78500	2
AT1G58460	10
AT1G45145	959
AT1G53530	333
AT1G67035	21
AT1G21980	844
AT1G05100	16
AT1G56330	2926
AT1G62500	287
AT1G72940	227
AT1G35242	0
AT1G60750	2
AT1G68120	71
AT1G47330	505
AT1G18740	278
AT1G04210	1462
AT1G66060	48
AT1G56415	0
AT1G13910	191
AT1G07780	491
AT1G54940	31
AT1G76100	3157
AT1G66100	13
AT1G27360	175
AT1G73530	872
AT1G77400	220
AT1G49290	0
AT1G67220	15
AT1G36272	0
AT1G35780	781
AT1G56460	664
AT1G16520	755
AT1G63057	4
AT1G06450	39
AT1G59722	0
AT1G51680	1679
AT1G55160	482
AT1G69150	4
AT1G66040	31
AT1G23020	1390
AT1G51915	0
AT1G69380	149
AT1G54400	7
AT1G27420	199
AT1G27910	404
AT1G49040	1242
AT1G58223	0
AT1G67330	0
AT1G23300	0
AT1G64230	3653
AT1G57690	0
AT1G55152	0
AT1G48030	9129
AT1G50890	162
AT1G15590	0
AT1G15180	1000
AT1G79460	290
AT1G20823	165
AT1G27330	3250
AT1G78830	2166
AT1G60050	10
AT1G72545	1
AT1G64584	0
AT1G69523	60
AT1G20720	169
AT1G55610	269
AT1G07400	2688
AT1G34575	0
AT1G44170	1234
AT1G27600	678
AT1G02710	0
AT1G15040	49
AT1G05200	1039
AT1G05575	30
AT1G75220	979
AT1G13860	553
AT1G05720	285
AT1G53300	1110
AT1G54180	147
AT1G61810	5
AT1G62640	470
AT1G24430	55
AT1G80590	0
AT1G35820	0
AT1G63250	738
AT1G23890	267
AT1G20480	76
AT1G61790	1839
AT1G68300	3058
AT1G69790	42
AT1G10560	29
AT1G68780	302
AT1G07640	975
AT1G32710	0
AT1G34070	2
AT1G52155	99
AT1G47500	998
AT1G77765	87
AT1G62190	0
AT1G26130	420
AT1G59500	0
AT1G77010	62
AT1G74130	1
AT1G15360	0
AT1G07170	546
AT1G10360	513
AT1G22780	3020
AT1G64610	271
AT1G02305	2121
AT1G21860	3
AT1G70990	46
AT1G16030	741
AT1G34270	145
AT1G69570	10
AT1G03240	0
AT1G05820	190
AT1G60690	134
AT1G58210	230
AT1G58007	15
AT1G29900	4334
AT1G33320	7
AT1G72630	382
AT1G09780	3204
AT1G29435	2
AT1G15350	236
AT1G06515	165
AT1G50030	1576
AT1G32520	375
AT1G51210	0
AT1G66930	42
AT1G03540	135
AT1G76310	315
AT1G64385	426
AT1G43850	831
AT1G76965	3
AT1G51570	2380
AT1G76130	741
AT1G11050	0
AT1G72080	0
AT1G04680	1301
AT1G32780	218
AT1G18370	432
AT1G24040	531
AT1G61120	0
AT1G69160	187
AT1G22230	182
AT1G75240	821
AT1G53700	39
AT1G80460	1902
AT1G59640	106
AT1G19850	645
AT1G21925	0
AT1G48600	5684
AT1G28390	254
AT1G67030	177
AT1G64340	2
AT1G31550	450
AT1G52360	2155
AT1G77270	188
AT1G64320	54
AT1G03165	1
AT1G64590	19
